Assessment Name,Relative URL,Duration in mins,Remote Testing,Adaptive/IRT,Test Type,Skills,Description
Accounts Receivable Simulation (New),https://www.shl.com/solutions/products/product-catalog/view/accounts-receivable-simulation-new/,8.0,Yes,No,Simulations,Practical Skills,The 'Accounts Receivable Simulation (New)' is a Simulations assessment. Duration is 8.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Practical Skills.
ADO.NET (New),https://www.shl.com/solutions/products/product-catalog/view/ado-net-new/,10.0,Yes,No,Knowledge & Skills,Technical Skills,The 'ADO.NET (New)' is a Knowledge & Skills assessment. Duration is 10.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
Adobe Experience Manager (New),https://www.shl.com/solutions/products/product-catalog/view/adobe-experience-manager-new/,17.0,Yes,No,Knowledge & Skills,Technical Skills,The 'Adobe Experience Manager (New)' is a Knowledge & Skills assessment. Duration is 17.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
Adobe Photoshop CC,https://www.shl.com/solutions/products/product-catalog/view/adobe-photoshop-cc/,20.0,Yes,Yes,Knowledge & Skills,Technical Skills,The 'Adobe Photoshop CC' is a Knowledge & Skills assessment. Duration is 20.0 mins if specified. It supports remote testing: Yes and adaptive format: Yes. Primary skills assessed: Technical Skills.
Aeronautical Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/aeronautical-engineering-new/,10.0,Yes,No,Knowledge & Skills,Technical Skills,The 'Aeronautical Engineering (New)' is a Knowledge & Skills assessment. Duration is 10.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
Aerospace Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/aerospace-engineering-new/,10.0,Yes,No,Knowledge & Skills,Technical Skills,The 'Aerospace Engineering (New)' is a Knowledge & Skills assessment. Duration is 10.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
Agile Software Development,https://www.shl.com/solutions/products/product-catalog/view/agile-software-development/,7.0,Yes,No,Knowledge & Skills,Technical Skills,The 'Agile Software Development' is a Knowledge & Skills assessment. Duration is 7.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
Agile Testing (New),https://www.shl.com/solutions/products/product-catalog/view/agile-testing-new/,13.0,Yes,No,Knowledge & Skills,Technical Skills,The 'Agile Testing (New)' is a Knowledge & Skills assessment. Duration is 13.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
AI Skills,https://www.shl.com/solutions/products/product-catalog/view/ai-skills/,16.0,Yes,No,Personality & Behavior,,The 'AI Skills' is a Personality & Behavior assessment. Duration is 16.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: .
Amazon Web Services (AWS) Development (New),https://www.shl.com/solutions/products/product-catalog/view/amazon-web-services-aws-development-new/,6.0,Yes,No,Knowledge & Skills,Technical Skills,The 'Amazon Web Services (AWS) Development (New)' is a Knowledge & Skills assessment. Duration is 6.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
Android Development (New),https://www.shl.com/solutions/products/product-catalog/view/android-development-new/,7.0,Yes,No,Knowledge & Skills,Technical Skills,The 'Android Development (New)' is a Knowledge & Skills assessment. Duration is 7.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
Angular 6 (New),https://www.shl.com/solutions/products/product-catalog/view/angular-6-new/,11.0,Yes,No,Knowledge & Skills,Technical Skills,The 'Angular 6 (New)' is a Knowledge & Skills assessment. Duration is 11.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
AngularJS (New),https://www.shl.com/solutions/products/product-catalog/view/angularjs-new/,9.0,Yes,No,Knowledge & Skills,Technical Skills,The 'AngularJS (New)' is a Knowledge & Skills assessment. Duration is 9.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
Apache Hadoop (New),https://www.shl.com/solutions/products/product-catalog/view/apache-hadoop-new/,7.0,Yes,No,Knowledge & Skills,Technical Skills,The 'Apache Hadoop (New)' is a Knowledge & Skills assessment. Duration is 7.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
Apache Hadoop Extensions (New),https://www.shl.com/solutions/products/product-catalog/view/apache-hadoop-extensions-new/,9.0,Yes,No,Knowledge & Skills,Technical Skills,The 'Apache Hadoop Extensions (New)' is a Knowledge & Skills assessment. Duration is 9.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
Apache HBase (New),https://www.shl.com/solutions/products/product-catalog/view/apache-hbase-new/,5.0,Yes,No,Knowledge & Skills,Technical Skills,The 'Apache HBase (New)' is a Knowledge & Skills assessment. Duration is 5.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
Apache Hive (New),https://www.shl.com/solutions/products/product-catalog/view/apache-hive-new/,5.0,Yes,No,Knowledge & Skills,Technical Skills,The 'Apache Hive (New)' is a Knowledge & Skills assessment. Duration is 5.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
Apache Kafka (New),https://www.shl.com/solutions/products/product-catalog/view/apache-kafka-new/,6.0,Yes,No,Knowledge & Skills,Technical Skills,The 'Apache Kafka (New)' is a Knowledge & Skills assessment. Duration is 6.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
Apache Pig (New),https://www.shl.com/solutions/products/product-catalog/view/apache-pig-new/,6.0,Yes,No,Knowledge & Skills,Technical Skills,The 'Apache Pig (New)' is a Knowledge & Skills assessment. Duration is 6.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
Apache Spark (New),https://www.shl.com/solutions/products/product-catalog/view/apache-spark-new/,8.0,Yes,No,Knowledge & Skills,Technical Skills,The 'Apache Spark (New)' is a Knowledge & Skills assessment. Duration is 8.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
ASP .NET with C# (New),https://www.shl.com/solutions/products/product-catalog/view/asp-net-with-c-new/,13.0,Yes,No,Knowledge & Skills,Technical Skills,The 'ASP .NET with C# (New)' is a Knowledge & Skills assessment. Duration is 13.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
ASP.NET 4.5,https://www.shl.com/solutions/products/product-catalog/view/asp-net-4-5/,30.0,Yes,Yes,Knowledge & Skills,Technical Skills,The 'ASP.NET 4.5' is a Knowledge & Skills assessment. Duration is 30.0 mins if specified. It supports remote testing: Yes and adaptive format: Yes. Primary skills assessed: Technical Skills.
Assessment and Development Center Exercises,https://www.shl.com/solutions/products/product-catalog/view/assessment-and-development-center-exercises/,,Yes,No,Assessment Exercises,,The 'Assessment and Development Center Exercises' is a Assessment Exercises assessment. Duration is nan mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: .
Automata - Fix (New),https://www.shl.com/solutions/products/product-catalog/view/automata-fix-new/,20.0,Yes,No,Simulations,Practical Skills,The 'Automata - Fix (New)' is a Simulations assessment. Duration is 20.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Practical Skills.
Automata - SQL (New),https://www.shl.com/solutions/products/product-catalog/view/automata-sql-new/,30.0,Yes,No,Simulations,Practical Skills,The 'Automata - SQL (New)' is a Simulations assessment. Duration is 30.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Practical Skills.
Automata (New),https://www.shl.com/solutions/products/product-catalog/view/automata-new/,45.0,Yes,No,Simulations,Practical Skills,The 'Automata (New)' is a Simulations assessment. Duration is 45.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Practical Skills.
Automata Data Science (New),https://www.shl.com/solutions/products/product-catalog/view/automata-data-science-new/,60.0,Yes,No,Simulations,Practical Skills,The 'Automata Data Science (New)' is a Simulations assessment. Duration is 60.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Practical Skills.
Automata Data Science Pro (New),https://www.shl.com/solutions/products/product-catalog/view/automata-data-science-pro-new/,60.0,Yes,No,Simulations,Practical Skills,The 'Automata Data Science Pro (New)' is a Simulations assessment. Duration is 60.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Practical Skills.
Automata Front End,https://www.shl.com/solutions/products/product-catalog/view/automata-front-end/,30.0,Yes,No,Simulations,Practical Skills,The 'Automata Front End' is a Simulations assessment. Duration is 30.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Practical Skills.
Automata Pro (New),https://www.shl.com/solutions/products/product-catalog/view/automata-pro-new/,60.0,Yes,No,Simulations,Practical Skills,The 'Automata Pro (New)' is a Simulations assessment. Duration is 60.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Practical Skills.
Automata Selenium,https://www.shl.com/solutions/products/product-catalog/view/automata-selenium/,60.0,Yes,No,Simulations,Practical Skills,The 'Automata Selenium' is a Simulations assessment. Duration is 60.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Practical Skills.
Automation Anywhere RPA Development (New),https://www.shl.com/solutions/products/product-catalog/view/automation-anywhere-rpa-development-new/,8.0,Yes,No,Knowledge & Skills,Technical Skills,The 'Automation Anywhere RPA Development (New)' is a Knowledge & Skills assessment. Duration is 8.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
Automotive Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/automotive-engineering-new/,13.0,Yes,No,Knowledge & Skills,Technical Skills,The 'Automotive Engineering (New)' is a Knowledge & Skills assessment. Duration is 13.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
Basic Biology (New),https://www.shl.com/solutions/products/product-catalog/view/basic-biology-new/,6.0,Yes,No,Knowledge & Skills,Technical Skills,The 'Basic Biology (New)' is a Knowledge & Skills assessment. Duration is 6.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
Basic Computer Literacy (Windows 10) (New),https://www.shl.com/solutions/products/product-catalog/view/basic-computer-literacy-windows-10-new/,30.0,Yes,No,,,The 'Basic Computer Literacy (Windows 10) (New)' is a General assessment. Duration is 30.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: .
Basic Statistics (New),https://www.shl.com/solutions/products/product-catalog/view/basic-statistics-new/,10.0,Yes,No,Knowledge & Skills,Technical Skills,The 'Basic Statistics (New)' is a Knowledge & Skills assessment. Duration is 10.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
Biochemistry (New),https://www.shl.com/solutions/products/product-catalog/view/biochemistry-new/,8.0,Yes,No,Knowledge & Skills,Technical Skills,The 'Biochemistry (New)' is a Knowledge & Skills assessment. Duration is 8.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
Biotech Lab Techniques (New),https://www.shl.com/solutions/products/product-catalog/view/biotech-lab-techniques-new/,5.0,Yes,No,Knowledge & Skills,Technical Skills,The 'Biotech Lab Techniques (New)' is a Knowledge & Skills assessment. Duration is 5.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
BizTalk (New),https://www.shl.com/solutions/products/product-catalog/view/biztalk-new/,16.0,Yes,No,Knowledge & Skills,Technical Skills,The 'BizTalk (New)' is a Knowledge & Skills assessment. Duration is 16.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
Business Communication (adaptive),https://www.shl.com/solutions/products/product-catalog/view/business-communication-adaptive/,24.0,Yes,Yes,Knowledge & Skills,Technical Skills,The 'Business Communication (adaptive)' is a Knowledge & Skills assessment. Duration is 24.0 mins if specified. It supports remote testing: Yes and adaptive format: Yes. Primary skills assessed: Technical Skills.
Business Communications,https://www.shl.com/solutions/products/product-catalog/view/business-communications/,35.0,Yes,No,Knowledge & Skills,Technical Skills,The 'Business Communications' is a Knowledge & Skills assessment. Duration is 35.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
C Programming (New),https://www.shl.com/solutions/products/product-catalog/view/c-programming-new/,10.0,Yes,No,Knowledge & Skills,Technical Skills,The 'C Programming (New)' is a Knowledge & Skills assessment. Duration is 10.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
C# Programming (New),https://www.shl.com/solutions/products/product-catalog/view/c-programming-new-4039/,9.0,Yes,No,Knowledge & Skills,Technical Skills,The 'C# Programming (New)' is a Knowledge & Skills assessment. Duration is 9.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
C++ Programming (New),https://www.shl.com/solutions/products/product-catalog/view/c-programming-new-4122/,10.0,Yes,No,Knowledge & Skills,Technical Skills,The 'C++ Programming (New)' is a Knowledge & Skills assessment. Duration is 10.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
Cardiology and Diabetes Management (New),https://www.shl.com/solutions/products/product-catalog/view/cardiology-and-diabetes-management-new/,4.0,Yes,No,Knowledge & Skills,Technical Skills,The 'Cardiology and Diabetes Management (New)' is a Knowledge & Skills assessment. Duration is 4.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
Ceramic Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/ceramic-engineering-new/,12.0,Yes,No,Knowledge & Skills,Technical Skills,The 'Ceramic Engineering (New)' is a Knowledge & Skills assessment. Duration is 12.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
Chemical Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/chemical-engineering-new/,13.0,Yes,No,Knowledge & Skills,Technical Skills,The 'Chemical Engineering (New)' is a Knowledge & Skills assessment. Duration is 13.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
Cisco AppDynamics (New),https://www.shl.com/solutions/products/product-catalog/view/cisco-appdynamics-new/,9.0,Yes,No,Knowledge & Skills,Technical Skills,The 'Cisco AppDynamics (New)' is a Knowledge & Skills assessment. Duration is 9.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
Civil Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/civil-engineering-new/,10.0,Yes,No,Knowledge & Skills,Technical Skills,The 'Civil Engineering (New)' is a Knowledge & Skills assessment. Duration is 10.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
Cloud Computing (New),https://www.shl.com/solutions/products/product-catalog/view/cloud-computing-new/,8.0,Yes,No,Knowledge & Skills,Technical Skills,The 'Cloud Computing (New)' is a Knowledge & Skills assessment. Duration is 8.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
COBOL Programming (New),https://www.shl.com/solutions/products/product-catalog/view/cobol-programming-new/,10.0,Yes,No,Knowledge & Skills,Technical Skills,The 'COBOL Programming (New)' is a Knowledge & Skills assessment. Duration is 10.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
Computer Science (New),https://www.shl.com/solutions/products/product-catalog/view/computer-science-new/,12.0,Yes,No,Knowledge & Skills,Technical Skills,The 'Computer Science (New)' is a Knowledge & Skills assessment. Duration is 12.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
Contact Center Call Simulation (New),https://www.shl.com/solutions/products/product-catalog/view/contact-center-call-simulation-new/,15.0,Yes,No,Simulations,Practical Skills,The 'Contact Center Call Simulation (New)' is a Simulations assessment. Duration is 15.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Practical Skills.
Conversational Multichat Simulation,https://www.shl.com/solutions/products/product-catalog/view/conversational-multichat-simulation/,11.0,Yes,No,Simulations,Practical Skills,The 'Conversational Multichat Simulation' is a Simulations assessment. Duration is 11.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Practical Skills.
Core Java (Advanced Level) (New),https://www.shl.com/solutions/products/product-catalog/view/core-java-advanced-level-new/,13.0,Yes,No,Knowledge & Skills,Technical Skills,The 'Core Java (Advanced Level) (New)' is a Knowledge & Skills assessment. Duration is 13.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
Core Java (Entry Level) (New),https://www.shl.com/solutions/products/product-catalog/view/core-java-entry-level-new/,13.0,Yes,No,Knowledge & Skills,Technical Skills,The 'Core Java (Entry Level) (New)' is a Knowledge & Skills assessment. Duration is 13.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
Count Out The Money,https://www.shl.com/solutions/products/product-catalog/view/count-out-the-money/,5.0,Yes,Yes,,,The 'Count Out The Money' is a General assessment. Duration is 5.0 mins if specified. It supports remote testing: Yes and adaptive format: Yes. Primary skills assessed: .
CSS3 (New),https://www.shl.com/solutions/products/product-catalog/view/css3-new/,8.0,Yes,No,Knowledge & Skills,Technical Skills,The 'CSS3 (New)' is a Knowledge & Skills assessment. Duration is 8.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
Culinary Skills (New),https://www.shl.com/solutions/products/product-catalog/view/culinary-skills-new/,7.0,Yes,No,Knowledge & Skills,Technical Skills,The 'Culinary Skills (New)' is a Knowledge & Skills assessment. Duration is 7.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
Customer Service Phone Simulation,https://www.shl.com/solutions/products/product-catalog/view/customer-service-phone-simulation/,20.0,Yes,No,,,The 'Customer Service Phone Simulation' is a General assessment. Duration is 20.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: .
Customer Service Phone Solution,https://www.shl.com/solutions/products/product-catalog/view/customer-service-phone-solution/,30.0,Yes,No,,,The 'Customer Service Phone Solution' is a General assessment. Duration is 30.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: .
Cyber Risk (New),https://www.shl.com/solutions/products/product-catalog/view/cyber-risk-new/,9.0,Yes,No,Knowledge & Skills,Technical Skills,The 'Cyber Risk (New)' is a Knowledge & Skills assessment. Duration is 9.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
Data Entry (New),https://www.shl.com/solutions/products/product-catalog/view/data-entry-new/,4.0,Yes,No,Simulations,Practical Skills,The 'Data Entry (New)' is a Simulations assessment. Duration is 4.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Practical Skills.
Data Entry Alphanumeric Split Screen - US,https://www.shl.com/solutions/products/product-catalog/view/data-entry-alphanumeric-split-screen-us/,5.0,Yes,No,Knowledge & Skills,Technical Skills,The 'Data Entry Alphanumeric Split Screen - US' is a Knowledge & Skills assessment. Duration is 5.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
Data Entry Numeric Split Screen - US,https://www.shl.com/solutions/products/product-catalog/view/data-entry-numeric-split-screen-us/,5.0,Yes,No,Knowledge & Skills,Technical Skills,The 'Data Entry Numeric Split Screen - US' is a Knowledge & Skills assessment. Duration is 5.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
Data Entry Ten Key Split Screen,https://www.shl.com/solutions/products/product-catalog/view/data-entry-ten-key-split-screen/,3.0,Yes,No,Knowledge & Skills,Technical Skills,The 'Data Entry Ten Key Split Screen' is a Knowledge & Skills assessment. Duration is 3.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
Data Science (New),https://www.shl.com/solutions/products/product-catalog/view/data-science-new/,14.0,Yes,No,Knowledge & Skills,Technical Skills,The 'Data Science (New)' is a Knowledge & Skills assessment. Duration is 14.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
Data Warehousing Concepts,https://www.shl.com/solutions/products/product-catalog/view/data-warehousing-concepts/,25.0,Yes,Yes,Knowledge & Skills,Technical Skills,The 'Data Warehousing Concepts' is a Knowledge & Skills assessment. Duration is 25.0 mins if specified. It supports remote testing: Yes and adaptive format: Yes. Primary skills assessed: Technical Skills.
Dependability and Safety Instrument (DSI),https://www.shl.com/solutions/products/product-catalog/view/dependability-and-safety-instrument-dsi/,10.0,Yes,No,Personality & Behavior,,The 'Dependability and Safety Instrument (DSI)' is a Personality & Behavior assessment. Duration is 10.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: .
Dermatology (New),https://www.shl.com/solutions/products/product-catalog/view/dermatology-new/,3.0,Yes,No,Knowledge & Skills,Technical Skills,The 'Dermatology (New)' is a Knowledge & Skills assessment. Duration is 3.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
Desktop Support (New),https://www.shl.com/solutions/products/product-catalog/view/desktop-support-new/,8.0,Yes,No,Knowledge & Skills,Technical Skills,The 'Desktop Support (New)' is a Knowledge & Skills assessment. Duration is 8.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
Digital Advertising (New),https://www.shl.com/solutions/products/product-catalog/view/digital-advertising-new/,7.0,Yes,No,Knowledge & Skills,Technical Skills,The 'Digital Advertising (New)' is a Knowledge & Skills assessment. Duration is 7.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
Digital Readiness Development Report - IC,https://www.shl.com/solutions/products/product-catalog/view/digital-readiness-development-report/,,Yes,No,Personality & Behavior,,The 'Digital Readiness Development Report - IC' is a Personality & Behavior assessment. Duration is nan mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: .
Digital Readiness Development Report - Manager,https://www.shl.com/solutions/products/product-catalog/view/digital-readiness-development-report-manager/,,Yes,No,Personality & Behavior,,The 'Digital Readiness Development Report - Manager' is a Personality & Behavior assessment. Duration is nan mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: .
Docker (New),https://www.shl.com/solutions/products/product-catalog/view/docker-new/,10.0,Yes,No,Knowledge & Skills,Technical Skills,The 'Docker (New)' is a Knowledge & Skills assessment. Duration is 10.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
Dojo (New),https://www.shl.com/solutions/products/product-catalog/view/dojo-new/,11.0,Yes,No,Knowledge & Skills,Technical Skills,The 'Dojo (New)' is a Knowledge & Skills assessment. Duration is 11.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
Drupal (New),https://www.shl.com/solutions/products/product-catalog/view/drupal-new/,17.0,Yes,No,Knowledge & Skills,Technical Skills,The 'Drupal (New)' is a Knowledge & Skills assessment. Duration is 17.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
DSI v1.1 Interpretation Report,https://www.shl.com/solutions/products/product-catalog/view/dsi-v1-1-interpretation-report/,,Yes,No,Personality & Behavior,,The 'DSI v1.1 Interpretation Report' is a Personality & Behavior assessment. Duration is nan mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: .
Econometrics (New),https://www.shl.com/solutions/products/product-catalog/view/econometrics-new/,11.0,Yes,No,Knowledge & Skills,Technical Skills,The 'Econometrics (New)' is a Knowledge & Skills assessment. Duration is 11.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
Economics (New),https://www.shl.com/solutions/products/product-catalog/view/economics-new/,13.0,Yes,No,Knowledge & Skills,Technical Skills,The 'Economics (New)' is a Knowledge & Skills assessment. Duration is 13.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
Electrical and Electronics Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/electrical-and-electronics-engineering-new/,14.0,Yes,No,Knowledge & Skills,Technical Skills,The 'Electrical and Electronics Engineering (New)' is a Knowledge & Skills assessment. Duration is 14.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
Electrical Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/electrical-engineering-new/,8.0,Yes,No,Knowledge & Skills,Technical Skills,The 'Electrical Engineering (New)' is a Knowledge & Skills assessment. Duration is 8.0 mins if specified. It supports remote testing: Yes and adaptive format: No. Primary skills assessed: Technical Skills.
